,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
12,1990,14.783,15.578,15.867,14.65,13.226,11.641,9.247,6.797,6.143,8.485,11.075,13.106,11.694
13,1991,14.364,15.249,15.416,14.86,13.473,12.108,9.514,7.415,6.473,8.541,10.885,12.945,11.749
14,1992,14.643,15.462,15.481,14.677,13.216,12.147,10.323,7.925,7.474,9.319,11.379,13.407,12.11
15,1993,14.896,15.686,15.813,15.077,13.368,11.871,9.476,7.335,6.397,8.786,11.319,13.319,11.923
16,1994,14.73,15.562,15.554,14.888,13.624,12.016,9.925,7.639,7.138,8.915,11.123,13.272,12.011
17,1995,14.586,15.226,15.26,14.449,12.972,11.44,8.987,6.744,6.08,7.829,10.761,12.921,11.415
18,1996,14.181,15.155,15.123,14.216,13.094,12.084,10.164,8.18,7.583,9.161,10.402,12.861,11.841
19,1997,14.417,15.437,15.467,14.563,13.177,11.738,9.411,7.285,6.686,8.337,10.684,13.076,11.668
20,1998,14.721,15.746,15.598,14.892,13.59,11.706,9.415,7.509,6.536,8.452,10.441,12.759,11.757
21,1999,14.359,15.309,15.398,15.084,13.751,11.779,9.488,7.226,6.117,8.603,10.796,12.641,11.691
22,2000,14.22,15.141,15.225,14.558,13.153,11.665,9.513,7.168,6.246,8.379,10.321,12.637,11.508
23,2001,14.203,15.211,15.516,14.857,13.51,11.456,9.07,7.461,6.732,8.298,10.658,12.491,11.6
24,2002,14.273,15.342,15.349,14.299,12.971,11.583,9.274,6.599,5.827,8.162,10.342,12.608,11.363
25,2003,14.391,15.193,15.485,14.512,13.016,11.604,9.215,6.936,6.116,7.848,10.125,12.588,11.397
26,2004,14.026,14.914,14.993,13.987,12.558,11.447,9.431,6.855,5.984,7.925,10.343,12.554,11.24
27,2005,13.661,14.373,14.687,14.09,12.911,11.162,8.649,6.301,5.504,7.352,10.216,12.228,10.907
28,2006,13.466,14.325,14.421,13.906,12.517,10.92,8.46,6.496,5.862,7.541,9.659,11.955,10.773
29,2007,13.703,14.513,14.542,13.845,12.78,11.22,7.943,5.342,4.267,6.04,9.76,12.034,10.474
30,2008,13.887,14.953,15.179,14.352,12.974,11.208,8.678,5.913,4.687,7.35,10.343,12.359,10.978
31,2009,13.914,14.812,14.984,14.496,13.187,11.32,8.465,6.136,5.262,6.92,9.772,12.2,10.932
32,2010,13.739,14.581,15.137,14.659,12.866,10.585,8.075,5.875,4.865,6.984,9.614,11.831,10.711
33,2011,13.464,14.363,14.546,14.108,12.681,10.749,7.724,5.503,4.561,6.465,9.772,12.154,10.483
34,2012,13.729,14.553,15.196,14.626,13.012,10.674,7.672,4.723,3.566,5.886,9.388,12.006,10.406
35,2013,13.703,14.723,15.032,14.299,12.997,11.36,8.132,6.014,5.208,7.455,9.939,12.184,10.897
36,2014,13.648,14.418,14.758,14.088,12.701,11.033,8.108,6.078,5.22,7.232,10.115,12.353,10.79
37,2015,13.602,14.401,14.37,13.893,12.468,10.879,8.378,5.599,4.616,6.966,9.846,12.045,10.566
38,2016,13.457,14.203,14.4,13.681,11.924,10.413,7.938,5.371,4.528,6.082,8.658,11.459,10.163
39,2017,13.19,14.12,14.29,13.753,12.631,10.756,7.939,5.481,4.822,6.767,9.493,11.743,10.393
40,2018,13.077,13.967,14.298,13.696,12.232,10.778,8.268,5.615,4.785,6.134,9.823,11.862,10.355
41,2019,13.556,14.398,14.552,13.455,12.163,10.527,7.592,5.029,4.316,5.665,,,10.09
